Date, Open, High, Low, Close
5/4/2010,7543.11,7543.11,7307.82,7337.25
5/5/2010,7337.25,7337.25,7204.24,7258.02
5/6/2010,7257.9,7259.19,6666.96,7011.92
5/7/2010,7011.91,7061.65,6813.93,6916.18
5/10/2010,6916.18,7288.03,6916.18,7257.62
5/11/2010,7257.59,7311.03,7177.05,7221.66
5/12/2010,7221.98,7324.02,7221.98,7316.36
5/13/2010,7316.36,7325.84,7225.34,7234.37
5/14/2010,7234.15,7234.15,7017.56,7077.64
5/17/2010,7077.67,7115.66,6926.39,7063.83
5/18/2010,7063.83,7150.88,6939.59,6959.21
5/19/2010,6959.19,6979.1,6823.37,6927.21
5/20/2010,6927.21,6927.21,6648.92,6653
5/21/2010,6653,6785.12,6565.53,6775.45
5/24/2010,6775.44,6775.44,6663.17,6666.74
5/25/2010,6666.73,6669.92,6451.67,6665.83
5/26/2010,6665.84,6767.87,6615.96,6631.36
5/27/2010,6631.36,6894.22,6631.36,6893.29
5/28/2010,6893.29,6893.29,6764.71,6791.57
6/1/2010,6791.44,6828.76,6659.04,6661.1
6/2/2010,6661.1,6840.14,6661.1,6839.61
6/3/2010,6839.61,6891,6790.21,6860.39
6/4/2010,6860.33,6860.33,6575.71,6600.27
6/7/2010,6600.23,6643.5,6509.66,6512.42
6/8/2010,6512.42,6602.44,6469.52,6596.12
6/9/2010,6596.15,6702.06,6539.2,6559.71
6/10/2010,6559.78,6787.76,6559.78,6783.51
6/11/2010,6783.5,6815.67,6726.42,6814.76
6/14/2010,6814.78,6922.86,6811.81,6817.97
6/15/2010,6817.98,6991.35,6817.98,6989.88
6/16/2010,6989.86,7002.03,6922.71,6976.08
6/17/2010,6976.09,6998.54,6918.85,6982.04
6/18/2010,6982.04,7009.63,6965.11,6988.24
6/21/2010,6988.24,7088.77,6947.27,6978.86
6/22/2010,6978.86,7003.42,6853.47,6858.95
6/23/2010,6858.95,6893.54,6794.08,6850.05
6/24/2010,6850.02,6850.02,6719.52,6730.24
6/25/2010,6730.21,6792.59,6689.27,6763.93
6/28/2010,6763.93,6794.13,6724.56,6736.6
6/29/2010,6735.57,6735.57,6482.34,6520.09
6/30/2010,6520.18,6574.46,6454.34,6469.65
7/1/2010,6469.65,6502.75,6355.83,6462.03
7/2/2010,6462.05,6509.6,6396.95,6434.81
7/6/2010,6434.84,6585.13,6428.24,6486.12
7/7/2010,6486.14,6688.85,6486.14,6685.78
7/8/2010,6685.81,6756.96,6679.8,6755.81
7/9/2010,6755.81,6809.47,6737.59,6808.71
7/12/2010,6808.71,6811.95,6744.11,6794.48
7/13/2010,6794.45,6929.88,6794.45,6907.78
7/14/2010,6907.76,6928.64,6853.49,6903.36
7/15/2010,6903.36,6927.68,6814.65,6916.81
7/16/2010,6916.73,6916.73,6699.77,6709.51
7/19/2010,6709.52,6760.62,6679.53,6739.64
7/20/2010,6739.38,6823.12,6654.23,6820.04
7/21/2010,6820.12,6852.94,6701.33,6731.16
7/22/2010,6731.16,6919.93,6731.16,6901.91
7/23/2010,6901.94,6971.37,6864.79,6965.11
7/26/2010,6965.15,7046,6954.45,7046
7/27/2010,7046.06,7092.55,7015.08,7044.99
7/28/2010,7044.98,7051.64,6979.53,6999.18
7/29/2010,6999.19,7081.38,6939.42,6994.57
7/30/2010,6994.57,7024.27,6910.76,6998.99
8/2/2010,6999.1,7183.12,6999.1,7174.9
8/3/2010,7174.81,7181.81,7113.59,7146.99
8/4/2010,7146.97,7190.79,7136.17,7182.14
8/5/2010,7182.14,7182.14,7134.37,7174.27
8/6/2010,7174.25,7174.25,7068.29,7153.72
8/9/2010,7153.75,7196.54,7147.77,7188.3
8/10/2010,7188.2,7188.2,7068.42,7139.75
8/11/2010,7139.74,7139.74,6897.47,6902.71
8/12/2010,6902.7,6902.74,6841.34,6881.94
8/13/2010,6881.83,6908.68,6858.82,6861.04
8/16/2010,6860.85,6890.06,6812.54,6871.58
8/17/2010,6871.62,7001.08,6871.62,6959.79
8/18/2010,6959.79,6999.74,6918.4,6968.08
8/19/2010,6967.99,6967.99,6821.91,6850.45
8/20/2010,6850.38,6850.38,6760.43,6813.15
8/23/2010,6813.18,6875.94,6784.96,6784.97
8/24/2010,6784.95,6784.95,6639.34,6681.03
8/25/2010,6681.03,6716.52,6594.95,6696.12
8/26/2010,6696.17,6755.17,6651.18,6665.26
8/27/2010,6665.31,6797.41,6631.27,6794.91
8/30/2010,6794.91,6794.91,6694.7,6695.28
8/31/2010,6695.24,6744.37,6652.32,6704.15
9/1/2010,6704.23,6915.71,6704.23,6910.98
9/2/2010,6910.98,6966.35,6905.14,6966.25
9/3/2010,6966.33,7063.23,6966.33,7055.03
9/7/2010,7055.24,7055.24,6955.49,6959.94
9/8/2010,6959.94,7033.89,6959.94,6999.94
9/9/2010,6999.97,7080.29,6999.97,7034.37
9/10/2010,7034.37,7075.61,7034.37,7067.51
9/13/2010,7067.53,7167.38,7067.53,7156.18
9/14/2010,7156.18,7200.41,7119.42,7162.08
9/15/2010,7162.08,7186.44,7114.46,7179.79
9/16/2010,7179.77,7179.77,7138.71,7169.48
9/17/2010,7169.47,7197.54,7136.44,7154.65
9/20/2010,7154.66,7277.71,7154.66,7266.02
9/21/2010,7266.01,7298.6,7212.7,7245.95
9/22/2010,7245.96,7281.24,7193.77,7210.85
9/23/2010,7210.79,7212.61,7128.23,7141.51
9/24/2010,7141.55,7302.25,7141.55,7301.04
9/27/2010,7301.03,7305.94,7262.33,7263.37
9/28/2010,7263.37,7321.15,7198.86,7310.32
9/29/2010,7310.27,7324.55,7270.05,7299.31
9/30/2010,7299.32,7376.91,7246.24,7281.07
10/1/2010,7281.09,7350.59,7281.09,7335.91
10/4/2010,7335.91,7339.68,7240.21,7272.53
10/5/2010,7272.57,7448.23,7272.57,7434.18
10/6/2010,7434.17,7461.53,7422.76,7448.33
10/7/2010,7448.33,7476.33,7384.87,7425.01
10/8/2010,7425,7493.12,7417.59,7478.42
10/11/2010,7478.38,7498.03,7458.95,7479.01
10/12/2010,7478.8,7505.34,7401.41,7489.62
10/13/2010,7489.67,7596.43,7489.67,7561.5
10/14/2010,7561.5,7582.95,7501.99,7546.59
10/15/2010,7546.64,7579.63,7478.72,7520.6
10/18/2010,7520.64,7577.23,7503.34,7571.1
10/19/2010,7571.09,7571.09,7384.77,7423.65
10/20/2010,7423.65,7549.06,7423.65,7523.81
10/21/2010,7523.83,7586.23,7460.15,7515.67
10/22/2010,7515.68,7540.36,7502.81,7522.91
10/25/2010,7522.96,7615.23,7522.96,7546.38
